,contractSymbol,lastTradeDate,strike,Last,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
98,SPXW250403C05960000,2025-04-03 15:19:21+00:00,5960.0,0.05,0.0,0.05,-0.009999998,-16.666662,6.0,668,0.5351608984375,False,REGULAR,USD
99,SPXW250403C05970000,2025-04-03 15:30:40+00:00,5970.0,0.03,0.0,0.05,-0.020000001,-40.000004,2.0,274,0.5468795312500001,False,REGULAR,USD
100,SPXW250403C05975000,2025-04-03 15:48:33+00:00,5975.0,0.03,0.0,0.05,0.0,0.0,1.0,921,0.5507857421875001,False,REGULAR,USD
101,SPXW250403C05980000,2025-04-03 13:37:22+00:00,5980.0,0.05,0.0,0.05,0.0,0.0,2.0,364,0.5546919531250001,False,REGULAR,USD
102,SPXW250403C05990000,2025-04-02 19:30:12+00:00,5990.0,0.05,0.0,0.05,0.0,0.0,40.0,593,0.5625043750000001,False,REGULAR,USD
103,SPXW250403C06000000,2025-04-03 13:50:55+00:00,6000.0,0.03,0.0,0.05,0.0,0.0,9.0,2097,0.5722699023437501,False,REGULAR,USD
104,SPXW250403C06010000,2025-04-02 19:00:07+00:00,6010.0,0.05,0.0,0.05,0.0,0.0,19.0,253,0.5820354296875,False,REGULAR,USD
105,SPXW250403C06020000,2025-04-02 18:49:05+00:00,6020.0,0.05,0.0,0.05,0.0,0.0,64.0,262,0.5898478515625001,False,REGULAR,USD
106,SPXW250403C06025000,2025-04-02 17:55:40+00:00,6025.0,0.03,0.0,0.05,-0.020000001,-40.000004,8.0,133,0.5937540625000001,False,REGULAR,USD
107,SPXW250403C06030000,2025-04-02 17:41:51+00:00,6030.0,0.05,0.0,0.05,0.0,0.0,13.0,195,0.5976602734375001,False,REGULAR,USD
108,SPXW250403C06040000,2025-04-02 17:41:34+00:00,6040.0,0.05,0.0,0.05,0.0,0.0,3.0,107,0.6093789062500001,False,REGULAR,USD
109,SPXW250403C06050000,2025-04-03 14:25:17+00:00,6050.0,0.03,0.0,0.05,0.0,0.0,2.0,152,0.6171913281250001,False,REGULAR,USD
110,SPXW250403C06075000,2025-04-03 14:27:56+00:00,6075.0,0.03,0.0,0.05,-0.020000001,-40.000004,3.0,143,0.64062859375,False,REGULAR,USD
111,SPXW250403C06100000,2025-04-02 19:36:14+00:00,6100.0,0.04,0.0,0.05,0.0,0.0,12.0,480,0.6601596484375001,False,REGULAR,USD
112,SPXW250403C06125000,2025-03-28 13:58:11+00:00,6125.0,0.05,0.0,0.05,0.0,0.0,100.0,99,0.6835969140625001,False,REGULAR,USD
113,SPXW250403C06150000,2025-03-31 13:42:22+00:00,6150.0,0.05,0.0,0.05,0.0,0.0,4.0,77,0.70312796875,False,REGULAR,USD
114,SPXW250403C06200000,2025-04-02 15:54:33+00:00,6200.0,0.05,0.0,0.05,0.0,0.0,1.0,124,0.7460962890625,False,REGULAR,USD
115,SPXW250403C06250000,2025-04-03 15:40:14+00:00,6250.0,0.03,0.0,0.05,-0.120000005,-80.0,2.0,57,0.789064609375,False,REGULAR,USD
116,SPXW250403C06300000,2025-03-31 16:12:23+00:00,6300.0,0.05,0.0,0.05,0.0,0.0,25.0,68,0.8320329296874999,False,REGULAR,USD
117,SPXW250403C06400000,2025-03-27 17:59:32+00:00,6400.0,0.07,0.0,0.05,0.0,0.0,6.0,137,0.914063359375,False,REGULAR,USD
118,SPXW250403C06500000,2025-03-28 13:46:52+00:00,6500.0,0.05,0.0,0.05,0.0,0.0,2.0,5,0.992187578125,False,REGULAR,USD
119,SPXW250403C06600000,2025-03-07 18:09:52+00:00,6600.0,0.15,0.0,0.05,0.0,0.0,1.0,3,1.0703171484375003,False,REGULAR,USD
120,SPXW250403C06800000,2025-03-26 14:41:14+00:00,6800.0,0.05,0.0,0.05,0.0,0.0,,4,1.2265663671875,False,REGULAR,USD
121,SPXW250403C07000000,2025-03-10 18:56:26+00:00,7000.0,0.1,0.0,0.05,0.0,0.0,1.0,0,1.3750031249999999,False,REGULAR,USD
122,SPXW250403C07200000,2025-02-25 16:01:50+00:00,7200.0,0.15,0.0,0.1,0.0,0.0,,5,1.5859395703124997,False,REGULAR,USD
123,SPXW250403C07600000,2025-04-03 16:52:49+00:00,7600.0,0.05,0.0,0.05,0.0,0.0,2.0,3,1.78125109375,False,REGULAR,USD
